main_key,dayofweek,origin_period,origin,origin_name,duration,arrival_time,destination,destination_name,load_factor,tomorrow?,minimal_n_departures,total_penumpang,maximal_load_factor
BBT-BKSOC,Tuesday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSOC,BEKASI BEBEK OCEN,40.0,0 days,1.0,4.0,40.0
BBT-BKSOC,Tuesday,2023-11-10 14:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 16:00:00,BKSOC,BEKASI BEBEK OCEN,63.75,0 days,1.0,5.5,63.75
BBT-BKSOC,Tuesday,2023-11-10 15:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 17:00:00,BKSOC,BEKASI BEBEK OCEN,75.83333333333333,0 days,1.0,7.0,75.83333333333333
BBT-BKSOC,Tuesday,2023-11-10 16:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 18:00:00,BKSOC,BEKASI BEBEK OCEN,40.0,0 days,1.0,4.0,40.0
BBT-BKSOC,Tuesday,2023-11-10 19:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 21:00:00,BKSOC,BEKASI BEBEK OCEN,41.25,0 days,1.0,3.5,41.25
BBT-BKSOC,Tuesday,2023-11-10 21:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 23:00:00,BKSOC,BEKASI BEBEK OCEN,80.0,0 days,1.0,8.0,80.0
BBT-BKSOC,Wednesday,2023-11-10 07:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 09:00:00,BKSOC,BEKASI BEBEK OCEN,100.0,0 days,1.0,8.0,100.0
BBT-BKSOC,Wednesday,2023-11-10 10:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 12:00:00,BKSOC,BEKASI BEBEK OCEN,51.25,0 days,1.0,5.0,51.25
BBT-BKSOC,Wednesday,2023-11-10 11:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 13:00:00,BKSOC,BEKASI BEBEK OCEN,70.0,0 days,1.0,6.0,70.0
BBT-BKSOC,Wednesday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 02:00:00,2023-11-10 15:00:00,BKSOC,BEKASI BEBEK OCEN,42.16216216216216,0 days,1.0,3.0,42.16216216216216
